gpu,backend,technique,num_states,n_strings,slen,median_ms,ci95_lo_ms,ci95_hi_ms,throughput_gbps,samples,torch,triton,warp,cuda
NVIDIA GeForce RTX 4070,triton,multistream,32,2048,256,59.04054,55.74451,62.56726,0.07104,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,triton,multistream,64,2048,256,200.0681,199.8766,200.49591,0.02096,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,triton,multistream,128,2048,256,1347.75903,1345.07324,1347.8584,0.00311,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,triton,multistream,256,2048,256,5491.63525,5477.34814,5513.80078,0.00076,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,triton,multistream,500,2048,256,21097.04883,20998.72461,21471.03906,0.0002,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,triton,worklist,32,2048,256,0.17101,0.16896,0.1751,24.52695,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,triton,worklist,64,2048,256,0.16691,0.16282,0.16979,25.12883,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,multistream,32,2048,256,8.1735,8.17152,8.17731,0.51316,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,multistream,64,2048,256,32.048,32.04298,32.05427,0.13088,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,multistream,128,2048,256,179.60339,179.21024,180.18906,0.02335,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,multistream,256,2048,256,714.41199,713.68988,719.97852,0.00587,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,multistream,500,2048,256,2706.56836,2704.68408,2712.41309,0.00155,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,multistream_shared,32,2048,256,8.14797,8.13978,8.16608,0.51477,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,multistream_shared,64,2048,256,31.94147,31.93754,32.06858,0.13131,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,multistream_shared,128,2048,256,177.10051,177.08647,177.12538,0.02368,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,multistream_shared,256,2048,256,709.46405,709.15271,709.6095,0.00591,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,multistream_shared,500,2048,256,2691.34546,2689.73291,2696.09351,0.00156,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,multistream_async,32,2048,256,8.43059,8.42032,8.43571,0.49751,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,multistream_async,64,2048,256,32.22704,32.21197,32.22835,0.13015,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,multistream_async,128,2048,256,178.79654,178.61623,178.88461,0.02346,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,multistream_async,256,2048,256,711.87238,711.0697,716.73364,0.00589,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,multistream_async,500,2048,256,2704.86353,2703.37842,2707.58496,0.00155,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,worklist,32,2048,256,0.0295,0.02842,0.0297,142.16052,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,worklist,64,2048,256,0.0295,0.02867,0.03072,142.16052,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,worklist,128,2048,256,0.09216,0.09101,0.09318,45.51111,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,worklist,256,2048,256,0.1239,0.12288,0.12573,33.85124,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,cuda,worklist,500,2048,256,0.27418,0.27341,0.27443,15.29785,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,warp,multistream,32,2048,256,7.42582,7.40997,7.4352,0.56483,9,2.9.1+cu128,3.5.1,1.14.0,12.8
NVIDIA GeForce RTX 4070,warp,multistream,64,2048,256,28.77356,28.7591,28.78846,0.14577,9,2.9.1+cu128,3.5.1,1.14.0,12.8
