states,seed,triton_gbps,cuda_gbps,regret,gpu
16,0,20.898,122.269,5.851,A100-SXM4-40GB
16,1,22.261,122.269,5.493,A100-SXM4-40GB
16,2,20.277,134.295,6.623,A100-SXM4-40GB
32,0,19.096,128.0,6.703,A100-SXM4-40GB
32,1,23.011,120.471,5.235,A100-SXM4-40GB
32,2,22.261,136.533,6.133,A100-SXM4-40GB
48,0,21.005,115.38,5.493,A100-SXM4-40GB
48,1,20.277,130.032,6.413,A100-SXM4-40GB
48,2,22.63,126.031,5.569,A100-SXM4-40GB
64,0,23.814,113.778,4.778,A100-SXM4-40GB
64,1,24.454,130.032,5.317,A100-SXM4-40GB
64,2,22.756,130.032,5.714,A100-SXM4-40GB
