states,seed,n_strings,cu_gbps,wt_gbps,ws_gbps,wp_gbps,gpu
8,0,16384,710.9,28.37,103.37,262.14,A100-SXM4-40GB
8,1,16384,750.05,30.69,108.8,324.74,A100-SXM4-40GB
16,0,16384,734.81,27.15,101.17,303.58,A100-SXM4-40GB
16,1,16384,743.67,27.82,101.78,300.62,A100-SXM4-40GB
24,0,16384,699.05,27.43,103.37,300.62,A100-SXM4-40GB
24,1,16384,1842.84,61.25,201.26,482.1,A100-SXM4-40GB
32,0,16384,717.71,27.58,105.03,353.06,A100-SXM4-40GB
32,1,16384,763.71,28.3,107.44,376.64,A100-SXM4-40GB
8,0,4096,210.05,26.01,85.33,143.33,A100-SXM4-40GB
8,1,4096,273.92,27.77,87.15,148.95,A100-SXM4-40GB
16,0,4096,282.48,22.69,81.92,138.99,A100-SXM4-40GB
16,1,4096,248.48,24.93,83.59,143.72,A100-SXM4-40GB
24,0,4096,256.0,23.01,69.42,98.55,A100-SXM4-40GB
24,1,4096,1000.55,50.88,146.29,157.63,A100-SXM4-40GB
32,0,4096,283.4,23.73,81.92,140.79,A100-SXM4-40GB
32,1,4096,292.57,23.41,82.9,144.67,A100-SXM4-40GB
8,0,65536,1540.89,30.98,118.72,282.48,A100-SXM4-40GB
8,1,65536,1519.68,33.13,123.77,296.54,A100-SXM4-40GB
16,0,65536,1525.2,28.66,108.95,265.92,A100-SXM4-40GB
16,1,65536,1510.92,29.59,112.83,261.75,A100-SXM4-40GB
24,0,65536,1427.12,29.14,111.74,279.45,A100-SXM4-40GB
24,1,65536,12671.61,71.04,232.81,740.52,A100-SXM4-40GB
32,0,65536,1512.01,29.24,111.84,262.16,A100-SXM4-40GB
32,1,65536,1510.37,30.01,114.17,276.69,A100-SXM4-40GB
8,0,16384,448.11,28.05,90.27,186.18,A100-SXM4-40GB
8,1,16384,471.06,29.39,96.38,199.8,A100-SXM4-40GB
16,0,16384,445.82,26.38,85.78,168.91,A100-SXM4-40GB
16,1,16384,456.3,26.88,89.04,161.42,A100-SXM4-40GB
24,0,16384,420.78,26.51,87.85,153.84,A100-SXM4-40GB
24,1,16384,1372.48,53.98,149.63,191.63,A100-SXM4-40GB
32,0,16384,433.47,26.34,85.11,204.8,A100-SXM4-40GB
32,1,16384,436.72,26.9,81.92,167.18,A100-SXM4-40GB
