states,seed,n_strings,cu_gbps,wt_gbps,ws_gbps,wp_gbps,gpu
8,0,16384,710.9,28.37,103.37,262.14,RTX4070
8,1,16384,750.05,30.69,108.8,324.74,RTX4070
16,0,16384,734.81,27.15,101.17,303.58,RTX4070
16,1,16384,743.67,27.82,101.78,300.62,RTX4070
24,0,16384,699.05,27.43,103.37,300.62,RTX4070
24,1,16384,1842.84,61.25,201.26,482.1,RTX4070
32,0,16384,717.71,27.58,105.03,353.06,RTX4070
32,1,16384,763.71,28.3,107.44,376.64,RTX4070
8,0,4096,210.05,26.01,85.33,143.33,RTX4070
8,1,4096,273.92,27.77,87.15,148.95,RTX4070
16,0,4096,282.48,22.69,81.92,138.99,RTX4070
16,1,4096,248.48,24.93,83.59,143.72,RTX4070
24,0,4096,256.0,23.01,69.42,98.55,RTX4070
24,1,4096,1000.55,50.88,146.29,157.63,RTX4070
32,0,4096,283.4,23.73,81.92,140.79,RTX4070
32,1,4096,292.57,23.41,82.9,144.67,RTX4070
8,0,65536,1540.89,30.98,118.72,282.48,RTX4070
8,1,65536,1519.68,33.13,123.77,296.54,RTX4070
16,0,65536,1525.2,28.66,108.95,265.92,RTX4070
16,1,65536,1510.92,29.59,112.83,261.75,RTX4070
24,0,65536,1427.12,29.14,111.74,279.45,RTX4070
24,1,65536,12671.61,71.04,232.81,740.52,RTX4070
32,0,65536,1512.01,29.24,111.84,262.16,RTX4070
32,1,65536,1510.37,30.01,114.17,276.69,RTX4070
